name,code,year,corop_code,corop,region_code,region,province_code,province
Hollands Kroon,GM1911,2026,CR18,Kop van Noord-Holland,AM15,Noord-Holland Noord,PV27,Noord-Holland
Hoogeveen,GM0118,2026,CR09,Zuidwest-Drenthe,AM03,Drenthe,PV22,Drenthe
Hoogezand-Sappemeer,GM0018,2017,CR03,Overig Groningen,AM01,Groningen,PV20,Groningen
Hoorn,GM0405,2026,CR18,Kop van Noord-Holland,AM15,Noord-Holland Noord,PV27,Noord-Holland
Horst aan de Maas,GM1507,2026,CR37,Noord-Limburg,AM29,Noord-Limburg,PV31,Limburg
Houten,GM0321,2026,CR17,Utrecht,AM13,Midden-Utrecht,PV26,Utrecht
Huizen,GM0406,2026,CR24,Het Gooi en Vechtstreek,AM12,Gooi en Vechtstreek,PV27,Noord-Holland
Hulst,GM0677,2026,CR31,Zeeuwsch-Vlaanderen,AM24,Zeeland,PV29,Zeeland
IJsselstein,GM0353,2026,CR17,Utrecht,AM13,Midden-Utrecht,PV26,Utrecht
Kaag en Braassem,GM1884,2026,CR25,Agglomeratie Leiden en Bollenstreek,AM19,Holland Rijnland,PV28,Zuid-Holland
Kampen,GM0166,2026,CR10,Noord-Overijssel,AM36,Regio Zwolle,PV23,Overijssel
Kapelle,GM0678,2026,CR32,Overig Zeeland,AM24,Zeeland,PV29,Zeeland
Katwijk,GM0537,2026,CR25,Agglomeratie Leiden en Bollenstreek,AM19,Holland Rijnland,PV28,Zuid-Holland
Kerkrade,GM0928,2026,CR39,Zuid-Limburg,AM30,Zuid-Limburg,PV31,Limburg
Koggenland,GM1598,2026,CR18,Kop van Noord-Holland,AM15,Noord-Holland Noord,PV27,Noord-Holland
Kollumerland en Nieuwkruisland,GM0079,2018,CR04,Noord-Friesland,AM02,Friesland,PV21,Fryslân
Korendijk,GM0588,2018,CR29,Groot-Rijnmond,AM22,Rijnmond,PV28,Zuid-Holland
Krimpen aan den IJssel,GM0542,2026,CR29,Groot-Rijnmond,AM22,Rijnmond,PV28,Zuid-Holland
Krimpenerwaard,GM1931,2026,CR28,Oost-Zuid-Holland,AM20,Midden-Holland,PV28,Zuid-Holland
Laarbeek,GM1659,2026,CR36,Zuidoost-Noord-Brabant,AM32,Helmond-De Peel,PV30,Noord-Brabant
Land van Cuijk,GM1982,2026,CR35,Noordoost-Noord-Brabant,AM27,Noordoost-Brabant,PV30,Noord-Brabant
Landerd,GM1685,2021,CR35,Noordoost-Noord-Brabant,AM27,Noordoost-Brabant,PV30,Noord-Brabant
Landgraaf,GM0882,2026,CR39,Zuid-Limburg,AM30,Zuid-Limburg,PV31,Limburg
Landsmeer,GM0415,2026,CR23,Groot-Amsterdam,AM17,Zaanstreek/Waterland,PV27,Noord-Holland
Langedijk,GM0416,2021,CR19,Alkmaar en omgeving,AM15,Noord-Holland Noord,PV27,Noord-Holland
Lansingerland,GM1621,2026,CR29,Groot-Rijnmond,AM34,Zuid-Holland Centraal,PV28,Zuid-Holland
Laren,GM0417,2023,CR24,Het Gooi en Vechtstreek,AM12,Gooi en Vechtstreek,PV27,Noord-Holland
Laren (NH.),GM0417,2026,CR24,Het Gooi en Vechtstreek,AM12,Gooi en Vechtstreek,PV27,Noord-Holland
Leek,GM0022,2018,CR03,Overig Groningen,AM01,Groningen,PV20,Groningen
Leerdam,GM0545,2018,CR30,Zuidoost-Zuid-Holland,AM35,Gorinchem,PV28,Zuid-Holland
Leeuwarden,GM0080,2026,CR04,Noord-Friesland,AM02,Friesland,PV21,Fryslân
Leeuwarderadeel,GM0081,2017,CR04,Noord-Friesland,AM02,Friesland,PV21,Fryslân
Leiden,GM0546,2026,CR25,Agglomeratie Leiden en Bollenstreek,AM19,Holland Rijnland,PV28,Zuid-Holland
Leiderdorp,GM0547,2026,CR25,Agglomeratie Leiden en Bollenstreek,AM19,Holland Rijnland,PV28,Zuid-Holland
Leidschendam-Voorburg,GM1916,2026,CR26,Agglomeratie 's-Gravenhage,AM34,Zuid-Holland Centraal,PV28,Zuid-Holland
Lelystad,GM0995,2026,CR40,Flevoland,AM11,Flevoland,PV24,Flevoland
Lemsterland,GM0082,2013,CR05,Zuidwest-Friesland,,,PV21,Fryslân
Leudal,GM1640,2026,CR38,Midden-Limburg,AM33,Midden-Limburg,PV31,Limburg
Leusden,GM0327,2026,CR17,Utrecht,AM14,Amersfoort,PV26,Utrecht
Liesveld,GM0694,2012,CR30,Zuidoost-Zuid-Holland,,,PV28,Zuid-Holland
Lingewaal,GM0733,2018,CR16,Zuidwest-Gelderland,AM35,Gorinchem,PV25,Gelderland
Lingewaard,GM1705,2026,CR15,Arnhem/Nijmegen,AM07,Midden-Gelderland,PV25,Gelderland
Lisse,GM0553,2026,CR25,Agglomeratie Leiden en Bollenstreek,AM19,Holland Rijnland,PV28,Zuid-Holland
Lith,GM0808,2010,CR35,Noordoost-Noord-Brabant,,,PV30,Noord-Brabant
Littenseradiel,GM0140,2017,CR04,Noord-Friesland,AM02,Friesland,PV21,Fryslân
Lochem,GM0262,2026,CR14,Achterhoek,AM06,Veluwe Stedendriehoek,PV25,Gelderland
Loenen,GM0329,2010,CR17,Utrecht,,,PV26,Utrecht
Loon op Zand,GM0809,2026,CR34,Midden-Noord-Brabant,AM26,Midden-Brabant,PV30,Noord-Brabant
Lopik,GM0331,2026,CR17,Utrecht,AM13,Midden-Utrecht,PV26,Utrecht
Loppersum,GM0024,2020,CR02,Delfzijl en omgeving,AM01,Groningen,PV20,Groningen
Losser,GM0168,2026,CR12,Twente,AM05,Twente,PV23,Overijssel
Maarssen,GM0333,2010,CR17,Utrecht,,,PV26,Utrecht
Maasdonk,GM1671,2014,CR35,Noordoost-Noord-Brabant,AM27,Noordoost-Brabant,PV30,Noord-Brabant
