month,geo,programme,seniority,bucket,n
2026-08,p:zuid-holland,business-it-management,unknown,50000,1
2026-08,p:zuid-holland,business-it-management,unknown,52500,1
2026-08,p:zuid-holland,business-it-management,unknown,55000,1
2026-08,p:zuid-holland,business-it-management,unknown,62500,1
2026-08,p:zuid-holland,informatica,all,37500,1
2026-08,p:zuid-holland,informatica,all,42500,1
2026-08,p:zuid-holland,informatica,all,45000,1
2026-08,p:zuid-holland,informatica,all,50000,2
2026-08,p:zuid-holland,informatica,all,52500,2
2026-08,p:zuid-holland,informatica,all,55000,1
2026-08,p:zuid-holland,informatica,all,57500,1
2026-08,p:zuid-holland,informatica,all,65000,1
2026-08,p:zuid-holland,informatica,all,70000,1
2026-08,p:zuid-holland,informatica,all,72500,1
2026-08,p:zuid-holland,informatica,all,77500,1
2026-08,p:zuid-holland,informatica,all,80000,1
2026-08,p:zuid-holland,informatica,all,95000,1
2026-08,p:zuid-holland,informatica,junior,65000,1
2026-08,p:zuid-holland,informatica,senior,52500,1
2026-08,p:zuid-holland,informatica,senior,57500,1
2026-08,p:zuid-holland,informatica,senior,77500,1
2026-08,p:zuid-holland,informatica,senior,95000,1
2026-08,p:zuid-holland,informatica,unknown,37500,1
2026-08,p:zuid-holland,informatica,unknown,42500,1
2026-08,p:zuid-holland,informatica,unknown,45000,1
2026-08,p:zuid-holland,informatica,unknown,50000,2
2026-08,p:zuid-holland,informatica,unknown,52500,1
2026-08,p:zuid-holland,informatica,unknown,55000,1
2026-08,p:zuid-holland,informatica,unknown,70000,1
2026-08,p:zuid-holland,informatica,unknown,72500,1
2026-08,p:zuid-holland,informatica,unknown,80000,1
2026-08,r:amersfoort,all,all,35000,1
2026-08,r:amersfoort,all,all,37500,1
2026-08,r:amersfoort,all,all,40000,1
2026-08,r:amersfoort,all,all,47500,1
2026-08,r:amersfoort,all,all,52500,3
2026-08,r:amersfoort,all,all,75000,1
2026-08,r:amersfoort,all,junior,37500,1
2026-08,r:amersfoort,all,senior,75000,1
2026-08,r:amersfoort,all,unknown,35000,1
2026-08,r:amersfoort,all,unknown,40000,1
2026-08,r:amersfoort,all,unknown,47500,1
2026-08,r:amersfoort,all,unknown,52500,3
2026-08,r:amersfoort,business-it-management,all,37500,1
2026-08,r:amersfoort,business-it-management,all,47500,1
2026-08,r:amersfoort,business-it-management,junior,37500,1
2026-08,r:amersfoort,business-it-management,unknown,47500,1
2026-08,r:amersfoort,informatica,all,52500,2
2026-08,r:amersfoort,informatica,unknown,52500,2
2026-08,r:drechtsteden,all,all,42500,1
2026-08,r:drechtsteden,all,unknown,42500,1
2026-08,r:drechtsteden,business-it-management,all,42500,1
2026-08,r:drechtsteden,business-it-management,unknown,42500,1
2026-08,r:friesland,all,all,30000,1
2026-08,r:friesland,all,all,35000,1
2026-08,r:friesland,all,junior,30000,1
2026-08,r:friesland,all,junior,35000,1
2026-08,r:friesland,informatica,all,30000,1
2026-08,r:friesland,informatica,junior,30000,1
2026-08,r:gooi-vechtstreek,all,all,45000,1
2026-08,r:gooi-vechtstreek,all,medior,45000,1
2026-08,r:gooi-vechtstreek,business-it-management,all,45000,1
2026-08,r:gooi-vechtstreek,business-it-management,medior,45000,1
2026-08,r:gooi-vechtstreek,informatica,all,45000,1
2026-08,r:gooi-vechtstreek,informatica,medior,45000,1
2026-08,r:groot-amsterdam,all,all,32500,2
2026-08,r:groot-amsterdam,all,all,35000,3
2026-08,r:groot-amsterdam,all,all,45000,1
2026-08,r:groot-amsterdam,all,all,50000,1
2026-08,r:groot-amsterdam,all,all,55000,1
2026-08,r:groot-amsterdam,all,all,60000,1
2026-08,r:groot-amsterdam,all,all,62500,2
2026-08,r:groot-amsterdam,all,all,67500,1
2026-08,r:groot-amsterdam,all,all,70000,1
2026-08,r:groot-amsterdam,all,all,82500,2
2026-08,r:groot-amsterdam,all,all,85000,1
2026-08,r:groot-amsterdam,all,junior,32500,1
2026-08,r:groot-amsterdam,all,medior,45000,1
2026-08,r:groot-amsterdam,all,medior,50000,1
2026-08,r:groot-amsterdam,all,senior,70000,1
2026-08,r:groot-amsterdam,all,senior,82500,2
2026-08,r:groot-amsterdam,all,senior,85000,1
2026-08,r:groot-amsterdam,all,unknown,32500,1
2026-08,r:groot-amsterdam,all,unknown,35000,3
2026-08,r:groot-amsterdam,all,unknown,55000,1
2026-08,r:groot-amsterdam,all,unknown,60000,1
2026-08,r:groot-amsterdam,all,unknown,62500,2
2026-08,r:groot-amsterdam,all,unknown,67500,1
2026-08,r:groot-amsterdam,informatica,all,45000,1
2026-08,r:groot-amsterdam,informatica,all,50000,1
2026-08,r:groot-amsterdam,informatica,all,62500,2
2026-08,r:groot-amsterdam,informatica,all,67500,1
2026-08,r:groot-amsterdam,informatica,all,70000,1
2026-08,r:groot-amsterdam,informatica,all,82500,2
2026-08,r:groot-amsterdam,informatica,all,85000,1
2026-08,r:groot-amsterdam,informatica,medior,45000,1
2026-08,r:groot-amsterdam,informatica,medior,50000,1
2026-08,r:groot-amsterdam,informatica,senior,70000,1
2026-08,r:groot-amsterdam,informatica,senior,82500,2
2026-08,r:groot-amsterdam,informatica,senior,85000,1
2026-08,r:groot-amsterdam,informatica,unknown,62500,2
2026-08,r:groot-amsterdam,informatica,unknown,67500,1
2026-08,r:haaglanden,all,all,37500,1
2026-08,r:haaglanden,all,all,50000,1
2026-08,r:haaglanden,all,all,52500,2
2026-08,r:haaglanden,all,all,60000,1
2026-08,r:haaglanden,all,all,80000,1
2026-08,r:haaglanden,all,senior,52500,1
2026-08,r:haaglanden,all,unknown,37500,1
2026-08,r:haaglanden,all,unknown,50000,1
2026-08,r:haaglanden,all,unknown,52500,1
2026-08,r:haaglanden,all,unknown,60000,1
2026-08,r:haaglanden,all,unknown,80000,1
2026-08,r:haaglanden,business-it-management,all,37500,1
2026-08,r:haaglanden,business-it-management,all,50000,1
2026-08,r:haaglanden,business-it-management,unknown,37500,1
2026-08,r:haaglanden,business-it-management,unknown,50000,1
2026-08,r:haaglanden,informatica,all,37500,1
2026-08,r:haaglanden,informatica,all,52500,2
2026-08,r:haaglanden,informatica,all,80000,1
2026-08,r:haaglanden,informatica,senior,52500,1
2026-08,r:haaglanden,informatica,unknown,37500,1
2026-08,r:haaglanden,informatica,unknown,52500,1
2026-08,r:haaglanden,informatica,unknown,80000,1
2026-08,r:helmond-de-peel,all,all,47500,1
2026-08,r:helmond-de-peel,all,unknown,47500,1
2026-08,r:helmond-de-peel,informatica,all,47500,1
2026-08,r:helmond-de-peel,informatica,unknown,47500,1
2026-08,r:holland-rijnland,all,all,57500,1
2026-08,r:holland-rijnland,all,senior,57500,1
2026-08,r:holland-rijnland,informatica,all,57500,1
