series,source,period,start,region,breakdown,value,label,n,published,retrieved,url,sample,note
cbs_employed_ict_occupations,cbs,2016Q1,2016-01-01,NL,system-network-specialists,59000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q1,2016-01-01,NL,system-analysts-advisers,107000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q1,2016-01-01,NL,software-developers,106000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q1,2016-01-01,NL,user-support,43000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q2,2016-04-01,NL,ict-managers,16000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q2,2016-04-01,NL,ict-occupations,328000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q2,2016-04-01,NL,system-network-specialists,63000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q2,2016-04-01,NL,system-analysts-advisers,101000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q2,2016-04-01,NL,software-developers,108000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q2,2016-04-01,NL,user-support,42000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q3,2016-07-01,NL,ict-managers,15000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q3,2016-07-01,NL,ict-occupations,332000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q3,2016-07-01,NL,system-network-specialists,62000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q3,2016-07-01,NL,system-analysts-advisers,103000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q3,2016-07-01,NL,software-developers,112000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q3,2016-07-01,NL,user-support,40000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q4,2016-10-01,NL,ict-managers,14000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q4,2016-10-01,NL,ict-occupations,343000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q4,2016-10-01,NL,system-network-specialists,66000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q4,2016-10-01,NL,system-analysts-advisers,107000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q4,2016-10-01,NL,software-developers,110000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q4,2016-10-01,NL,user-support,47000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q1,2017-01-01,NL,ict-managers,17000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q1,2017-01-01,NL,ict-occupations,345000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q1,2017-01-01,NL,system-network-specialists,68000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q1,2017-01-01,NL,system-analysts-advisers,102000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q1,2017-01-01,NL,software-developers,113000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q1,2017-01-01,NL,user-support,46000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q2,2017-04-01,NL,ict-managers,17000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q2,2017-04-01,NL,ict-occupations,342000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q2,2017-04-01,NL,system-network-specialists,69000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q2,2017-04-01,NL,system-analysts-advisers,102000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q2,2017-04-01,NL,software-developers,113000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q2,2017-04-01,NL,user-support,42000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q3,2017-07-01,NL,ict-managers,19000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q3,2017-07-01,NL,ict-occupations,324000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q3,2017-07-01,NL,system-network-specialists,59000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q3,2017-07-01,NL,system-analysts-advisers,100000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q3,2017-07-01,NL,software-developers,108000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q3,2017-07-01,NL,user-support,41000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q4,2017-10-01,NL,ict-managers,18000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q4,2017-10-01,NL,ict-occupations,331000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q4,2017-10-01,NL,system-network-specialists,62000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q4,2017-10-01,NL,system-analysts-advisers,101000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q4,2017-10-01,NL,software-developers,109000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2017Q4,2017-10-01,NL,user-support,44000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2018Q1,2018-01-01,NL,ict-managers,21000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2018Q1,2018-01-01,NL,ict-occupations,347000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2018Q1,2018-01-01,NL,system-network-specialists,66000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2018Q1,2018-01-01,NL,system-analysts-advisers,105000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2018Q1,2018-01-01,NL,software-developers,113000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2018Q1,2018-01-01,NL,user-support,46000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2018Q2,2018-04-01,NL,ict-managers,17000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2018Q2,2018-04-01,NL,ict-occupations,360000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
